prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
110, 314	2	110	1, 1	1	0.638497652582	1.0	100	100	539
110, 319	2	110	1, 0	1	0.668231611894	0.992175273865	75	70	564
110, 333	2	110	1, 1	1	0.638497652582	1.0	107	107	532
110, 339	2	110	1, 1	1	0.638497652582	0.993740219092	90	86	549
110, 346	2	110	1, 0	1	0.679186228482	0.996870109546	76	74	563
110, 362	2	110	1, 1	1	0.638497652582	0.990610328638	99	93	540
110, 372	2	110	1, 0	1	0.677621283255	1.0	71	71	568
110, 373	2	110	1, 0	1	0.671361502347	0.993740219092	75	71	564
110, 374	2	110	1, 0	1	0.676056338028	0.996870109546	74	72	565
110, 375	2	110	1, 1	1	0.638497652582	0.992175273865	90	85	549
110, 51	2	110	1, 0	1	0.694835680751	1.0	82	82	557
110, 53	2	110	1, 1	1	0.638497652582	1.0	93	93	546
110, 62	2	110	1, 0	1	0.679186228482	0.990610328638	84	78	555
110, 65	2	110	1, 0	1	0.676056338028	0.993740219092	78	74	561
110, 83	2	110	1, 0	1	0.68544600939	0.996870109546	80	78	559
115, 110	2	115	1, 1	1	0.638497652582	0.992175273865	96	91	543
115, 134	2	115	1, 0	1	0.69014084507	0.992175273865	83	78	556
115, 153	2	115	1, 0	1	0.677621283255	0.992175273865	75	70	564
115, 176	2	115	1, 0	1	0.679186228482	0.992175273865	76	71	563
115, 178	2	115	1, 0	1	0.682316118936	0.992175273865	78	73	561
115, 281	2	115	1, 1	1	0.638497652582	0.992175273865	96	91	543
115, 29	2	115	1, 1	1	0.638497652582	0.992175273865	75	70	564
115, 304	2	115	1, 1	1	0.638497652582	0.992175273865	109	104	530
115, 314	2	115	1, 1	1	0.638497652582	0.992175273865	96	91	543
115, 333	2	115	1, 1	1	0.638497652582	0.992175273865	104	99	535
115, 372	2	115	1, 0	1	0.677621283255	0.992175273865	75	70	564
115, 51	2	115	1, 0	1	0.694835680751	0.992175273865	86	81	553
115, 53	2	115	1, 1	1	0.638497652582	0.992175273865	98	93	541
134, 110	2	134	0, 1	1	0.69014084507	1.0	79	79	560
134, 115	2	134	0, 1	1	0.69014084507	0.992175273865	83	78	556
134, 153	2	134	0, 0	1	0.729264475743	1.0	58	58	581
134, 162	2	134	0, 1	1	0.69014084507	0.993740219092	50	46	589
134, 176	2	134	0, 0	1	0.733959311424	1.0	61	61	578
134, 178	2	134	0, 0	1	0.733959311424	1.0	61	61	578
134, 193	2	134	0, 1	1	0.69014084507	0.992175273865	51	46	588
134, 198	2	134	0, 0	1	0.699530516432	0.992175273865	49	44	590
134, 201	2	134	0, 1	1	0.69014084507	0.992175273865	82	77	557
134, 224	2	134	0, 1	1	0.69014084507	0.993740219092	80	76	559
