prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
19, 29, 281	3	19	1, 1, 1	0	0.766823161189	1.0	152	152	487
19, 29, 51	3	19	1, 1, 0	0	0.752738654147	1.0	143	143	496
19, 29, 53	3	19	1, 1, 1	0	0.769953051643	1.0	154	154	485
29, 110, 153	3	29	1, 1, 0	0	0.707355242567	1.0	123	123	516
29, 110, 176	3	29	1, 1, 0	0	0.712050078247	1.0	126	126	513
29, 110, 178	3	29	1, 1, 0	0	0.712050078247	1.0	126	126	513
29, 110, 51	3	29	1, 1, 0	0	0.724569640063	1.0	134	134	505
29, 176, 51	3	29	1, 0, 0	1	0.738654147105	1.0	116	116	523
29, 178, 153	3	29	1, 0, 0	1	0.721439749609	1.0	105	105	534
29, 281, 110	3	29	1, 1, 1	0	0.740219092332	1.0	144	144	495
29, 281, 153	3	29	1, 1, 0	0	0.707355242567	1.0	123	123	516
29, 281, 176	3	29	1, 1, 0	0	0.712050078247	1.0	126	126	513
29, 281, 178	3	29	1, 1, 0	0	0.712050078247	1.0	126	126	513
29, 281, 51	3	29	1, 1, 0	0	0.724569640063	1.0	134	134	505
51, 153, 110	3	51	0, 0, 1	1	0.733959311424	1.0	107	107	532
51, 153, 178	3	51	0, 0, 0	1	0.777777777778	1.0	89	89	550
51, 153, 29	3	51	0, 0, 1	1	0.733959311424	1.0	113	113	526
51, 153, 314	3	51	0, 0, 1	1	0.733959311424	1.0	115	115	524
51, 153, 333	3	51	0, 0, 1	1	0.733959311424	1.0	122	122	517
51, 153, 53	3	51	0, 0, 1	1	0.733959311424	1.0	109	109	530
51, 153, 55	3	51	0, 0, 1	1	0.733959311424	1.0	102	102	537
53, 110, 153	3	53	1, 1, 0	0	0.691705790297	1.0	118	118	521
53, 110, 176	3	53	1, 1, 0	0	0.696400625978	1.0	121	121	518
53, 110, 178	3	53	1, 1, 0	0	0.696400625978	1.0	121	121	518
53, 110, 181	3	53	1, 1, 0	0	0.691705790297	1.0	118	118	521
53, 110, 51	3	53	1, 1, 0	0	0.708920187793	1.0	129	129	510
53, 134, 19	3	53	1, 0, 1	1	0.69014084507	1.0	137	137	502
53, 134, 29	3	53	1, 0, 1	1	0.69014084507	1.0	132	132	507
53, 178, 153	3	53	1, 0, 0	1	0.721439749609	1.0	101	101	538
53, 178, 176	3	53	1, 0, 0	1	0.72613458529	1.0	104	104	535
53, 19, 110	3	53	1, 1, 1	0	0.755868544601	1.0	148	148	491
53, 19, 153	3	53	1, 1, 0	0	0.72613458529	1.0	129	129	510
53, 19, 176	3	53	1, 1, 0	0	0.73082942097	1.0	132	132	507
53, 19, 178	3	53	1, 1, 0	0	0.73082942097	1.0	132	132	507
53, 19, 281	3	53	1, 1, 1	0	0.757433489828	1.0	149	149	490
53, 19, 51	3	53	1, 1, 0	0	0.743348982786	1.0	140	140	499
53, 281, 110	3	53	1, 1, 1	0	0.72613458529	1.0	139	139	500
53, 281, 153	3	53	1, 1, 0	0	0.694835680751	1.0	119	119	520
53, 281, 176	3	53	1, 1, 0	0	0.699530516432	1.0	122	122	517
53, 281, 178	3	53	1, 1, 0	0	0.699530516432	1.0	122	122	517
53, 281, 51	3	53	1, 1, 0	0	0.712050078247	1.0	130	130	509
53, 29, 110	3	53	1, 1, 1	0	0.741784037559	1.0	144	144	495
53, 29, 153	3	53	1, 1, 0	0	0.71048513302	1.0	124	124	515
53, 29, 176	3	53	1, 1, 0	0	0.715179968701	1.0	127	127	512
53, 29, 178	3	53	1, 1, 0	0	0.715179968701	1.0	127	127	512
53, 29, 281	3	53	1, 1, 1	0	0.741784037559	1.0	144	144	495
53, 29, 51	3	53	1, 1, 0	0	0.727699530516	1.0	135	135	504
53, 304, 110	3	53	1, 1, 1	0	0.766823161189	1.0	152	152	487
53, 304, 153	3	53	1, 1, 0	0	0.735524256651	1.0	132	132	507
53, 304, 176	3	53	1, 1, 0	0	0.740219092332	1.0	135	135	504
53, 304, 178	3	53	1, 1, 0	0	0.740219092332	1.0	135	135	504
53, 304, 281	3	53	1, 1, 1	0	0.768388106416	1.0	153	153	486
53, 304, 51	3	53	1, 1, 0	0	0.752738654147	1.0	143	143	496
134, 110, 178	3	134	0, 1, 0	1	0.733959311424	1.0	107	107	532
134, 110, 19	3	134	0, 1, 1	1	0.69014084507	1.0	134	134	505
134, 110, 281	3	134	0, 1, 1	1	0.69014084507	1.0	126	126	513
134, 110, 29	3	134	0, 1, 1	1	0.69014084507	1.0	131	131	508
134, 110, 304	3	134	0, 1, 1	1	0.69014084507	1.0	138	138	501
134, 110, 333	3	134	0, 1, 1	1	0.69014084507	1.0	140	140	499
134, 110, 53	3	134	0, 1, 1	1	0.69014084507	1.0	126	126	513
134, 153, 110	3	134	0, 0, 1	1	0.729264475743	1.0	104	104	535
134, 153, 176	3	134	0, 0, 0	1	0.773082942097	1.0	86	86	553
134, 153, 178	3	134	0, 0, 0	1	0.773082942097	1.0	86	86	553
134, 153, 19	3	134	0, 0, 1	1	0.729264475743	1.0	114	114	525
134, 153, 281	3	134	0, 0, 1	1	0.729264475743	1.0	105	105	534
134, 153, 29	3	134	0, 0, 1	1	0.729264475743	1.0	110	110	529
134, 153, 304	3	134	0, 0, 1	1	0.729264475743	1.0	117	117	522
134, 153, 314	3	134	0, 0, 1	1	0.729264475743	1.0	112	112	527
134, 153, 333	3	134	0, 0, 1	1	0.729264475743	1.0	119	119	520
134, 153, 51	3	134	0, 0, 0	1	0.785602503912	1.0	94	94	545
134, 153, 53	3	134	0, 0, 1	1	0.729264475743	1.0	106	106	533
134, 153, 55	3	134	0, 0, 1	1	0.729264475743	1.0	99	99	540
134, 176, 110	3	134	0, 0, 1	1	0.733959311424	1.0	107	107	532
134, 176, 178	3	134	0, 0, 0	1	0.777777777778	1.0	89	89	550
134, 176, 19	3	134	0, 0, 1	1	0.733959311424	1.0	117	117	522
134, 176, 281	3	134	0, 0, 1	1	0.733959311424	1.0	108	108	531
134, 176, 29	3	134	0, 0, 1	1	0.733959311424	1.0	113	113	526
134, 176, 304	3	134	0, 0, 1	1	0.733959311424	1.0	120	120	519
134, 176, 333	3	134	0, 0, 1	1	0.733959311424	1.0	122	122	517
134, 176, 53	3	134	0, 0, 1	1	0.733959311424	1.0	109	109	530
134, 178, 19	3	134	0, 0, 1	1	0.733959311424	1.0	117	117	522
134, 178, 29	3	134	0, 0, 1	1	0.733959311424	1.0	113	113	526
134, 178, 53	3	134	0, 0, 1	1	0.733959311424	1.0	109	109	530
134, 51, 110	3	134	0, 0, 1	1	0.746478873239	1.0	115	115	524
134, 51, 176	3	134	0, 0, 0	1	0.790297339593	1.0	97	97	542
134, 51, 178	3	134	0, 0, 0	1	0.790297339593	1.0	97	97	542
